"generator" "L" "R" "n" "h" "run" "nsols"
"uncorr" 1 50 50 1 1 2
"uncorr" 1 50 50 2 1 1
"uncorr" 1 50 50 11 1 1
"uncorr" 1 50 50 2 10 2
"uncorr" 1 50 200 11 16 1
"wcorr" 1 50 350 2 10 375
"wcorr" 1 50 350 3 10 25414
"wcorr" 1 50 350 4 10 2
"wcorr" 1 50 350 5 10 8987
"wcorr" 1 50 350 6 10 1404187711
"wcorr" 1 50 350 7 10 11203
"wcorr" 1 50 350 8 10 7242
"wcorr" 1 50 350 9 10 31
"wcorr" 1 50 350 10 10 163
"wcorr" 1 50 350 11 10 1642
"uncorr" 1 50 200 1 17 2
"wcorr" 1 50 350 1 11 22
"wcorr" 1 50 350 2 11 194
"wcorr" 1 50 350 3 11 209
"wcorr" 1 50 350 4 11 31721
"wcorr" 1 50 350 5 11 1080
"wcorr" 1 50 350 6 11 1110943756
"wcorr" 1 50 350 7 11 1004
"wcorr" 1 50 350 8 11 590
"wcorr" 1 50 350 9 11 128
"wcorr" 1 50 350 10 11 107
"uncorr" 1 50 200 2 17 2
"wcorr" 1 50 350 11 11 1
"wcorr" 1 50 350 1 12 4287
"wcorr" 1 50 350 2 12 1555
"wcorr" 1 50 350 3 12 733
"wcorr" 1 50 350 4 12 100
"wcorr" 1 50 350 5 12 534
"wcorr" 1 50 350 6 12 347737645630
"wcorr" 1 50 350 7 12 24
"wcorr" 1 50 350 8 12 1109
"wcorr" 1 50 350 9 12 290
"uncorr" 1 50 200 3 17 2
"wcorr" 1 50 350 10 12 1710
"wcorr" 1 50 350 11 12 8
"wcorr" 1 50 350 1 13 2410
"wcorr" 1 50 350 2 13 678
"wcorr" 1 50 350 3 13 1
"wcorr" 1 50 350 4 13 2186
"wcorr" 1 50 350 5 13 189
"wcorr" 1 50 350 6 13 12409742222348
"wcorr" 1 50 350 7 13 32848
"wcorr" 1 50 350 8 13 592
"uncorr" 1 50 200 4 17 2
"wcorr" 1 50 350 9 13 1010
"wcorr" 1 50 350 10 13 13077
"wcorr" 1 50 350 11 13 1122
"wcorr" 1 50 350 1 14 151
"wcorr" 1 50 350 2 14 11
"wcorr" 1 50 350 3 14 521
"wcorr" 1 50 350 4 14 3
"wcorr" 1 50 350 5 14 23210
"wcorr" 1 50 350 6 14 3277805391
"wcorr" 1 50 350 7 14 3548
"uncorr" 1 50 200 5 17 2
"wcorr" 1 50 350 8 14 205
"wcorr" 1 50 350 9 14 2012
"wcorr" 1 50 350 10 14 650
"wcorr" 1 50 350 11 14 4
"wcorr" 1 50 350 1 15 184
"wcorr" 1 50 350 2 15 525
"wcorr" 1 50 350 3 15 5
"wcorr" 1 50 350 4 15 3221
"wcorr" 1 50 350 5 15 966
"wcorr" 1 50 350 6 15 16266576
"uncorr" 1 50 200 6 17 2
"wcorr" 1 50 350 7 15 192224
"wcorr" 1 50 350 8 15 1
"wcorr" 1 50 350 9 15 5135
"wcorr" 1 50 350 10 15 16774
"wcorr" 1 50 350 11 15 85
"wcorr" 1 50 350 1 16 2
"wcorr" 1 50 350 2 16 3185
"wcorr" 1 50 350 3 16 2517
"wcorr" 1 50 350 4 16 348
"wcorr" 1 50 350 5 16 139644
"uncorr" 1 50 200 7 17 4
"wcorr" 1 50 350 6 16 27322
"wcorr" 1 50 350 7 16 2654889
"wcorr" 1 50 350 8 16 18711
"wcorr" 1 50 350 9 16 1370
"wcorr" 1 50 350 10 16 699
"wcorr" 1 50 350 11 16 265
"wcorr" 1 50 350 1 17 914
"wcorr" 1 50 350 2 17 707
"wcorr" 1 50 350 3 17 5781
"wcorr" 1 50 350 4 17 1
"uncorr" 1 50 200 8 17 2
"wcorr" 1 50 350 5 17 5222
"wcorr" 1 50 350 6 17 17911852
"wcorr" 1 50 350 7 17 182995
"wcorr" 1 50 350 8 17 409584
"wcorr" 1 50 350 9 17 11460
"wcorr" 1 50 350 10 17 49
"wcorr" 1 50 350 11 17 2193
"wcorr" 1 50 350 1 18 14
"wcorr" 1 50 350 2 18 2106
"wcorr" 1 50 350 3 18 7452
"uncorr" 1 50 200 9 17 12
"wcorr" 1 50 350 4 18 26501
"wcorr" 1 50 350 5 18 330
"wcorr" 1 50 350 6 18 3447628
"wcorr" 1 50 350 7 18 91
"wcorr" 1 50 350 8 18 106704
"wcorr" 1 50 350 9 18 239
"wcorr" 1 50 350 10 18 853
"wcorr" 1 50 350 11 18 4998
"wcorr" 1 50 350 1 19 1707
"wcorr" 1 50 350 2 19 2466
"uncorr" 1 50 50 3 10 1
"uncorr" 1 50 200 10 17 3
"wcorr" 1 50 350 3 19 427
"wcorr" 1 50 350 4 19 1453
"wcorr" 1 50 350 5 19 14893
"wcorr" 1 50 350 6 19 397622410
"wcorr" 1 50 350 7 19 3419
"wcorr" 1 50 350 8 19 1014
"wcorr" 1 50 350 9 19 87411
"wcorr" 1 50 350 10 19 12277
"wcorr" 1 50 350 11 19 278
"wcorr" 1 50 350 1 20 4839
"uncorr" 1 50 200 11 17 5
"wcorr" 1 50 350 2 20 5429
"wcorr" 1 50 350 3 20 657
"wcorr" 1 50 350 4 20 162764
"wcorr" 1 50 350 5 20 54141
"wcorr" 1 50 350 6 20 117422931
"wcorr" 1 50 350 7 20 8
"wcorr" 1 50 350 8 20 2334
"wcorr" 1 50 350 9 20 253385
"wcorr" 1 50 350 10 20 129
"wcorr" 1 50 350 11 20 1058
"uncorr" 1 50 200 1 18 2
"wcorr" 1 50 350 1 21 878
"wcorr" 1 50 350 2 21 9846
"wcorr" 1 50 350 3 21 345371
"wcorr" 1 50 350 4 21 4886
"wcorr" 1 50 350 5 21 222
"wcorr" 1 50 350 6 21 41750729
"wcorr" 1 50 350 7 21 38
"wcorr" 1 50 350 8 21 6994
"wcorr" 1 50 350 9 21 17
"wcorr" 1 50 350 10 21 13259
"uncorr" 1 50 200 2 18 1
"wcorr" 1 50 350 11 21 93
"wcorr" 1 50 350 1 22 823
"wcorr" 1 50 350 2 22 96823
"wcorr" 1 50 350 3 22 11410
"wcorr" 1 50 350 4 22 12208
"wcorr" 1 50 350 5 22 45437
"wcorr" 1 50 350 6 22 611
"wcorr" 1 50 350 7 22 2
"wcorr" 1 50 350 8 22 5794627
"wcorr" 1 50 350 9 22 9923
"uncorr" 1 50 200 3 18 3
"wcorr" 1 50 350 10 22 5
"wcorr" 1 50 350 11 22 8
"wcorr" 1 50 350 1 23 13
"wcorr" 1 50 350 2 23 3060
"wcorr" 1 50 350 3 23 164
"wcorr" 1 50 350 4 23 1275463
"wcorr" 1 50 350 5 23 120
"wcorr" 1 50 350 6 23 43597652727
"wcorr" 1 50 350 7 23 330991035
"wcorr" 1 50 350 8 23 2093
"uncorr" 1 50 200 4 18 10
"wcorr" 1 50 350 9 23 511
"wcorr" 1 50 350 10 23 3856
"wcorr" 1 50 350 11 23 264
"wcorr" 1 50 350 1 24 20
"wcorr" 1 50 350 2 24 94
"wcorr" 1 50 350 3 24 7416
"wcorr" 1 50 350 4 24 455
"wcorr" 1 50 350 5 24 1327
"wcorr" 1 50 350 6 24 28127
"wcorr" 1 50 350 7 24 45868
"uncorr" 1 50 200 5 18 1
"wcorr" 1 50 350 8 24 4476
"wcorr" 1 50 350 9 24 7099
"wcorr" 1 50 350 10 24 3
"wcorr" 1 50 350 11 24 33
"wcorr" 1 50 350 1 25 13
"wcorr" 1 50 350 2 25 16
"wcorr" 1 50 350 3 25 1
"wcorr" 1 50 350 4 25 2548
"wcorr" 1 50 350 5 25 8
"wcorr" 1 50 350 6 25 4540965989
"uncorr" 1 50 200 6 18 3
"wcorr" 1 50 350 7 25 75
"wcorr" 1 50 350 8 25 5607
"wcorr" 1 50 350 9 25 18475
"wcorr" 1 50 350 10 25 174
"wcorr" 1 50 350 11 25 13
"wcorr" 1 50 400 1 1 12
"wcorr" 1 50 400 2 1 1152011
"wcorr" 1 50 400 3 1 72849
"wcorr" 1 50 400 4 1 775
"wcorr" 1 50 400 5 1 16
"uncorr" 1 50 200 7 18 1
"wcorr" 1 50 400 6 1 481768090549
"wcorr" 1 50 400 7 1 6599
"wcorr" 1 50 400 8 1 413167
"wcorr" 1 50 400 9 1 110
"wcorr" 1 50 400 10 1 4251
"wcorr" 1 50 400 11 1 56
"wcorr" 1 50 400 1 2 36
"wcorr" 1 50 400 2 2 29424
"wcorr" 1 50 400 3 2 14755
"wcorr" 1 50 400 4 2 1671
"uncorr" 1 50 200 8 18 1
"wcorr" 1 50 400 5 2 6
"wcorr" 1 50 400 6 2 34678683230
"wcorr" 1 50 400 7 2 2009
"wcorr" 1 50 400 8 2 135053
"wcorr" 1 50 400 9 2 208941
"wcorr" 1 50 400 10 2 6
"wcorr" 1 50 400 11 2 950
"wcorr" 1 50 400 1 3 24673
"wcorr" 1 50 400 2 3 696
"wcorr" 1 50 400 3 3 3864
"uncorr" 1 50 50 4 10 1
"uncorr" 1 50 200 9 18 2
"wcorr" 1 50 400 4 3 149764
"wcorr" 1 50 400 5 3 160482
"wcorr" 1 50 400 6 3 20017814
"wcorr" 1 50 400 7 3 84
"wcorr" 1 50 400 8 3 15326
"wcorr" 1 50 400 9 3 5864
"wcorr" 1 50 400 10 3 51794
"wcorr" 1 50 400 11 3 164
"wcorr" 1 50 400 1 4 258
"wcorr" 1 50 400 2 4 7
"uncorr" 1 50 200 10 18 1
"wcorr" 1 50 400 3 4 159
"wcorr" 1 50 400 4 4 829
"wcorr" 1 50 400 5 4 9860
"wcorr" 1 50 400 6 4 2558075736
"wcorr" 1 50 400 7 4 555
"wcorr" 1 50 400 8 4 12166
"wcorr" 1 50 400 9 4 181806
"wcorr" 1 50 400 10 4 24419
"wcorr" 1 50 400 11 4 2098
"wcorr" 1 50 400 1 5 4
"uncorr" 1 50 200 11 18 8
"wcorr" 1 50 400 2 5 908
"wcorr" 1 50 400 3 5 277
"wcorr" 1 50 400 4 5 2423
"wcorr" 1 50 400 5 5 88216
"wcorr" 1 50 400 6 5 32658136
"wcorr" 1 50 400 7 5 46
"wcorr" 1 50 400 8 5 65
"wcorr" 1 50 400 9 5 18643
"wcorr" 1 50 400 10 5 21115
"wcorr" 1 50 400 11 5 9284
"uncorr" 1 50 200 1 19 1
"wcorr" 1 50 400 1 6 1279
"wcorr" 1 50 400 2 6 22
"wcorr" 1 50 400 3 6 612
"wcorr" 1 50 400 4 6 366663
"wcorr" 1 50 400 5 6 22032
"wcorr" 1 50 400 6 6 340752364
"wcorr" 1 50 400 7 6 306068
"wcorr" 1 50 400 8 6 42265
"wcorr" 1 50 400 9 6 1839
"wcorr" 1 50 400 10 6 173
"uncorr" 1 50 200 2 19 1
"wcorr" 1 50 400 11 6 6003
"wcorr" 1 50 400 1 7 3269
"wcorr" 1 50 400 2 7 481
"wcorr" 1 50 400 3 7 108
"wcorr" 1 50 400 4 7 2154
"wcorr" 1 50 400 5 7 208
"wcorr" 1 50 400 6 7 3578820
"wcorr" 1 50 400 7 7 313
"wcorr" 1 50 400 8 7 23415
"wcorr" 1 50 400 9 7 108412
"uncorr" 1 50 200 3 19 6
"wcorr" 1 50 400 10 7 8
"wcorr" 1 50 400 11 7 4334
